dim,soft_layer_1,soft_layer_3,soft_layer_6,soft_layer_9,soft_layer_12,hard_selected_layer
160,0.15825922787189484,0.17621397972106934,0.20863792300224304,0.24631227552890778,0.21057651937007904,9
161,0.21215680241584778,0.19657927751541138,0.2151973992586136,0.18574395775794983,0.19032248854637146,1
162,0.19254861772060394,0.21163326501846313,0.21615642309188843,0.2066628485918045,0.1729988306760788,3
163,0.23534782230854034,0.21549278497695923,0.1689462661743164,0.19057805836200714,0.18963509798049927,3
164,0.20334497094154358,0.24425247311592102,0.16214032471179962,0.1908799260854721,0.19938229024410248,3
165,0.23032166063785553,0.19489772617816925,0.18240895867347717,0.19518008828163147,0.197191521525383,3
166,0.19307100772857666,0.19740262627601624,0.24372950196266174,0.16125978529453278,0.2045370489358902,12
167,0.23705287277698517,0.22000712156295776,0.19608046114444733,0.16509495675563812,0.1817646324634552,3
168,0.18698135018348694,0.21150895953178406,0.2082626223564148,0.22265587747097015,0.17059116065502167,1
169,0.19306831061840057,0.20142023265361786,0.18386265635490417,0.21015125513076782,0.2114974856376648,12
170,0.21209652721881866,0.23169563710689545,0.18151941895484924,0.20423533022403717,0.17045308649539948,9
171,0.2254316359758377,0.18399763107299805,0.18259119987487793,0.20712244510650635,0.20085708796977997,1
172,0.1942579448223114,0.2046785056591034,0.17361003160476685,0.23488909006118774,0.19256442785263062,6
173,0.1969439685344696,0.18597057461738586,0.18412841856479645,0.22813184559345245,0.2048252373933792,12
174,0.18543744087219238,0.21294763684272766,0.20657473802566528,0.17075994610786438,0.22428026795387268,9
175,0.16895951330661774,0.1851135641336441,0.2254241555929184,0.24254873394966125,0.17795401811599731,12
176,0.20082762837409973,0.18487048149108887,0.17940710484981537,0.21028389036655426,0.2246108502149582,6
177,0.23602616786956787,0.1846330761909485,0.19823499023914337,0.19089558720588684,0.19021019339561462,1
178,0.216956228017807,0.19917720556259155,0.16454221308231354,0.2110588550567627,0.2082654982805252,9
179,0.24162212014198303,0.19956205785274506,0.19271038472652435,0.1849750429391861,0.18113043904304504,6
180,0.19657883048057556,0.2139604538679123,0.16487811505794525,0.24331460893154144,0.18126794695854187,6
181,0.20129841566085815,0.1870228797197342,0.21279709041118622,0.20096059143543243,0.1979210078716278,1
182,0.23378872871398926,0.19386930763721466,0.19809788465499878,0.183946430683136,0.1902976781129837,6
183,0.23479925096035004,0.2057468146085739,0.1594831794500351,0.19680213928222656,0.20316866040229797,6
184,0.18457788228988647,0.23426955938339233,0.20608720183372498,0.16035614907741547,0.21470925211906433,9
185,0.18355309963226318,0.16493578255176544,0.23322521150112152,0.22752174735069275,0.19076420366764069,1
186,0.1876191347837448,0.22459883987903595,0.22869271039962769,0.1734752357006073,0.18561406433582306,12
187,0.24057690799236298,0.21790440380573273,0.17286013066768646,0.18301773071289062,0.18564079701900482,6
188,0.25513866543769836,0.19572502374649048,0.16603262722492218,0.18689896166324615,0.19620472192764282,1
189,0.2006404995918274,0.17678788304328918,0.20741814374923706,0.20018969476222992,0.21496379375457764,1
190,0.20028500258922577,0.1919047236442566,0.2330588400363922,0.20832547545433044,0.1664259284734726,3
191,0.18735241889953613,0.17223505675792694,0.21423006057739258,0.23817479610443115,0.188007652759552,6
192,0.23635433614253998,0.22134098410606384,0.17424993216991425,0.17358748614788055,0.19446727633476257,6
193,0.19331131875514984,0.18467703461647034,0.22420227527618408,0.21413184702396393,0.1836775541305542,3
194,0.19959747791290283,0.17244252562522888,0.16525053977966309,0.22811731696128845,0.23459216952323914,12
195,0.212584987282753,0.20522364974021912,0.2022136002779007,0.17234259843826294,0.20763516426086426,6
196,0.17980363965034485,0.19245962798595428,0.190494105219841,0.23752325773239136,0.1997193545103073,1
197,0.21616771817207336,0.20025543868541718,0.20610225200653076,0.17431768774986267,0.20315691828727722,12
198,0.20478913187980652,0.22375385463237762,0.18586933612823486,0.1958480328321457,0.1897396296262741,9
199,0.20036692917346954,0.20805244147777557,0.20049303770065308,0.1844036728143692,0.20668397843837738,9
200,0.17430390417575836,0.18325653672218323,0.2638288140296936,0.20620602369308472,0.1724046915769577,6
201,0.1960524469614029,0.2194911539554596,0.17544732987880707,0.2003559023141861,0.20865321159362793,1
202,0.18303188681602478,0.22395552694797516,0.1751570999622345,0.20531690120697021,0.21253857016563416,6
203,0.19022789597511292,0.20716047286987305,0.19408993422985077,0.20588915050029755,0.20263254642486572,3
204,0.17595922946929932,0.1711045503616333,0.24219109117984772,0.21857275068759918,0.19217245280742645,9
205,0.20273712277412415,0.23940594494342804,0.16995076835155487,0.19506773352622986,0.1928383857011795,12
206,0.1916414201259613,0.22578158974647522,0.19303590059280396,0.18681427836418152,0.20272688567638397,1
207,0.1726260483264923,0.1945316344499588,0.24230733513832092,0.20149986445903778,0.18903511762619019,3
208,0.24007412791252136,0.17972764372825623,0.17198443412780762,0.17864832282066345,0.22956547141075134,3
209,0.22658440470695496,0.19978711009025574,0.17059779167175293,0.21805331110954285,0.18497730791568756,1
210,0.2040664702653885,0.21544142067432404,0.17759788036346436,0.1928597390651703,0.21003444492816925,1
211,0.17199775576591492,0.20092928409576416,0.20672263205051422,0.20819276571273804,0.21215763688087463,6
212,0.1770266592502594,0.19302411377429962,0.19574427604675293,0.23792539536952972,0.19627948105335236,3
213,0.2057541161775589,0.19548699259757996,0.22842665016651154,0.18809667229652405,0.18223553895950317,12
214,0.19974879920482635,0.1775425523519516,0.25229498744010925,0.19858916103839874,0.17182447016239166,6
215,0.1675882339477539,0.2045423984527588,0.2395952194929123,0.19493922591209412,0.1933349370956421,1
216,0.243327796459198,0.18631969392299652,0.1611444503068924,0.18798622488975525,0.22122184932231903,1
217,0.17532776296138763,0.167403906583786,0.2265430986881256,0.23232319951057434,0.19840197265148163,12
218,0.2087990939617157,0.18460051715373993,0.16334505379199982,0.24611149728298187,0.19714383780956268,9
219,0.21085438132286072,0.17734381556510925,0.19388999044895172,0.1950109452009201,0.22290083765983582,9
220,0.2477612942457199,0.17042268812656403,0.19327522814273834,0.20212934911251068,0.186411514878273,1
221,0.18766821920871735,0.22325119376182556,0.21341729164123535,0.19013851881027222,0.1855248212814331,9
222,0.1988869160413742,0.19073063135147095,0.22699427604675293,0.19245310127735138,0.19093507528305054,1
223,0.16915953159332275,0.1834714114665985,0.24082829058170319,0.20963846147060394,0.19690226018428802,6
224,0.22742629051208496,0.18609021604061127,0.18693414330482483,0.19529065489768982,0.20425862073898315,12
225,0.20159702003002167,0.1830432265996933,0.18815544247627258,0.1913374662399292,0.23586687445640564,9
226,0.1733727753162384,0.21780751645565033,0.2243836522102356,0.18863242864608765,0.1958036720752716,12
227,0.20559409260749817,0.21807777881622314,0.18108201026916504,0.19247567653656006,0.2027704268693924,3
228,0.194377601146698,0.18219158053398132,0.19142524898052216,0.23290015757083893,0.19910544157028198,9
229,0.1974346935749054,0.18824976682662964,0.2351885735988617,0.1955353319644928,0.1835915446281433,1
230,0.1632658690214157,0.18170127272605896,0.2522623538970947,0.24660798907279968,0.15616253018379211,12
231,0.20216397941112518,0.17704373598098755,0.24588192999362946,0.18204739689826965,0.19286301732063293,12
232,0.19939565658569336,0.1895122230052948,0.21871840953826904,0.21581506729125977,0.17655864357948303,6
233,0.2001032680273056,0.1710781455039978,0.23115289211273193,0.2126127928495407,0.18505293130874634,1
234,0.19227585196495056,0.2328232377767563,0.17175939679145813,0.17594653367996216,0.2271949201822281,3
235,0.21355733275413513,0.20044004917144775,0.19044874608516693,0.20070581138134003,0.19484807550907135,12
236,0.19772933423519135,0.1872713714838028,0.16058649122714996,0.22644473612308502,0.22796811163425446,3
237,0.2194458246231079,0.1978602260351181,0.2008528709411621,0.17943769693374634,0.2024034559726715,9
238,0.20125530660152435,0.19634781777858734,0.22485411167144775,0.1700955480337143,0.20744720101356506,3
239,0.22640958428382874,0.1871401071548462,0.18872523307800293,0.21474787592887878,0.18297719955444336,3
240,0.19078388810157776,0.16795216500759125,0.16991038620471954,0.23292143642902374,0.2384321391582489,12
241,0.1985521912574768,0.24662835896015167,0.19974829256534576,0.20749220252037048,0.1475789099931717,12
242,0.20278549194335938,0.21991679072380066,0.20369330048561096,0.1866973489522934,0.1869071125984192,6
243,0.17138518393039703,0.17732107639312744,0.20948529243469238,0.22438938915729523,0.2174190729856491,9
244,0.17992040514945984,0.1952303797006607,0.2231849879026413,0.2142373025417328,0.1874268352985382,9
245,0.20722194015979767,0.1949918270111084,0.16841240227222443,0.23137713968753815,0.19799676537513733,3
246,0.17917917668819427,0.24524594843387604,0.2011786848306656,0.1980258673429489,0.1763702630996704,3
247,0.20318350195884705,0.20008741319179535,0.19511885941028595,0.214131161570549,0.18747904896736145,3
248,0.19931502640247345,0.194000244140625,0.20292074978351593,0.18182505667209625,0.22193898260593414,9
249,0.22298568487167358,0.2312321811914444,0.2016817033290863,0.1797594279050827,0.16434094309806824,9
250,0.19443859159946442,0.1602797955274582,0.18153709173202515,0.22406966984272003,0.23967495560646057,1
251,0.22620293498039246,0.220376655459404,0.1567198932170868,0.18964265286922455,0.2070578634738922,12
252,0.21654608845710754,0.20826910436153412,0.20605140924453735,0.15568788349628448,0.2134455293416977,1
253,0.24632348120212555,0.2132169008255005,0.1678963154554367,0.19796301424503326,0.1746002435684204,9
254,0.18308976292610168,0.18771010637283325,0.22412975132465363,0.19387391209602356,0.21119648218154907,12
255,0.19961464405059814,0.21529310941696167,0.19486913084983826,0.1749102771282196,0.21531283855438232,9
256,0.22183534502983093,0.18977884948253632,0.1651197224855423,0.20242439210414886,0.2208416610956192,12
257,0.1912224292755127,0.20404180884361267,0.2046290785074234,0.19369687139987946,0.20640979707241058,6
258,0.18015721440315247,0.20552296936511993,0.1971924751996994,0.22740647196769714,0.18972085416316986,9
259,0.18100735545158386,0.21342262625694275,0.20769286155700684,0.19193799793720245,0.2059391289949417,6
260,0.2093358039855957,0.20241785049438477,0.19371765851974487,0.18455983698368073,0.2099689245223999,6
261,0.1936034858226776,0.23289629817008972,0.1600826531648636,0.2100629359483719,0.2033545970916748,6
262,0.15610262751579285,0.16371780633926392,0.22440701723098755,0.24056567251682281,0.2152068018913269,12
263,0.19222988188266754,0.1920417696237564,0.2288280576467514,0.20698760449886322,0.1799127161502838,1
264,0.24075156450271606,0.22220876812934875,0.18261058628559113,0.16126739978790283,0.19316168129444122,12
265,0.1728488951921463,0.1848243921995163,0.22602415084838867,0.2168518602848053,0.19945064187049866,12
266,0.15390688180923462,0.1828610599040985,0.22990605235099792,0.226328045129776,0.20699794590473175,6
267,0.17880551517009735,0.20685893297195435,0.19486579298973083,0.18399383127689362,0.23547598719596863,6
268,0.17312918603420258,0.17808127403259277,0.1923818737268448,0.2628951668739319,0.19351252913475037,6
269,0.20220915973186493,0.16366691887378693,0.2032480239868164,0.24750789999961853,0.18336798250675201,6
270,0.19414199888706207,0.17703759670257568,0.19045652449131012,0.20496323704719543,0.2334006279706955,1
271,0.2121436595916748,0.16405421495437622,0.21134351193904877,0.17824861407279968,0.23420995473861694,3
272,0.20024968683719635,0.19454723596572876,0.18342265486717224,0.2069142609834671,0.21486614644527435,12
273,0.2248881757259369,0.2083359956741333,0.15599319338798523,0.22458650171756744,0.18619605898857117,9
274,0.2210126668214798,0.2293022871017456,0.17165684700012207,0.18507564067840576,0.192952498793602,6
275,0.1699846237897873,0.17240622639656067,0.20137940347194672,0.24125561118125916,0.2149740755558014,12
276,0.18297284841537476,0.20864321291446686,0.20048849284648895,0.21819552779197693,0.1896999478340149,3
277,0.18858899176120758,0.19991961121559143,0.25150859355926514,0.1746850162744522,0.18529778718948364,12
278,0.16542832553386688,0.2040577530860901,0.1934487670660019,0.2595830261707306,0.17748214304447174,1
279,0.23363633453845978,0.20002630352973938,0.19973383843898773,0.18624655902385712,0.18035688996315002,6
280,0.1991456001996994,0.18866842985153198,0.17116867005825043,0.23569335043430328,0.2053239643573761,12
281,0.19936855137348175,0.19157099723815918,0.1710246503353119,0.22460778057575226,0.21342803537845612,12
282,0.22667592763900757,0.1948850005865097,0.19033537805080414,0.17837665975093842,0.20972701907157898,12
